City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,San Patricio,US,2022-08-09 23:40:30,28.017,-97.5169,95.72,51,44,14.25
232,Puerto Carreno,CO,2022-08-09 23:40:30,6.189,-67.4859,81.03,80,98,6.35
233,Nelson Bay,AU,2022-08-09 23:38:40,-32.7167,152.15,60.01,86,66,3.0
234,Tomatlan,MX,2022-08-09 23:41:31,19.9333,-105.25,85.51,68,100,5.12
235,Sinnamary,GF,2022-08-09 23:41:31,5.3833,-52.95,79.3,87,74,13.49
236,Sao Joao Da Barra,BR,2022-08-09 23:41:31,-21.6403,-41.0511,71.15,90,49,11.14
237,Moree,AU,2022-08-09 23:41:32,-29.4667,149.85,57.51,52,0,9.35
238,Sao Borja,BR,2022-08-09 23:37:04,-28.6606,-56.0044,51.94,93,100,11.25
239,Grindavik,IS,2022-08-09 23:37:20,63.8424,-22.4338,51.75,100,100,27.63
240,Prince George,CA,2022-08-09 23:41:28,53.9166,-122.753,82.26,31,0,6.91
241,Cidreira,BR,2022-08-09 23:41:32,-30.1811,-50.2056,55.45,85,100,19.33
242,Mana,GF,2022-08-09 23:41:32,5.6592,-53.7767,80.44,83,79,12.71
243,Kavieng,PG,2022-08-09 23:41:33,-2.5744,150.7967,82.35,72,100,3.65
244,Huarmey,PE,2022-08-09 23:41:33,-10.0681,-78.1522,63.3,82,11,7.78
245,Hazorasp,UZ,2022-08-09 23:41:33,41.3194,61.0742,67.84,28,0,8.16
246,Cockburn Town,TC,2022-08-09 23:41:34,21.4612,-71.1419,84.16,70,20,13.8
247,Zorlentu Mare,RO,2022-08-09 23:41:34,45.4506,21.9561,65.71,90,93,1.66
248,Jumla,NP,2022-08-09 23:39:04,29.2747,82.1838,61.34,95,74,3.09
249,Campina Verde,BR,2022-08-09 23:41:34,-19.5356,-49.4864,66.34,88,100,11.18
250,Syasstroy,RU,2022-08-09 23:41:35,60.1367,32.5691,55.81,72,39,3.27
251,Catia La Mar,VE,2022-08-09 23:41:35,10.6038,-67.0303,79.0,83,40,2.3
252,Bend,US,2022-08-09 23:41:35,44.0582,-121.3153,83.25,72,55,3.0
253,Alofi,NU,2022-08-09 23:41:36,-19.0595,-169.9187,76.89,83,75,16.31
254,Zhangjiakou,CN,2022-08-09 23:41:36,40.81,114.8794,69.15,72,0,1.41
255,Qurbus,TN,2022-08-09 23:41:36,36.8167,10.5687,80.94,73,0,7.9
256,Pyinmana,MM,2022-08-09 23:41:37,19.7333,96.2167,73.44,97,100,4.16
257,Mikuni,JP,2022-08-09 23:41:37,36.2171,136.1519,87.71,66,88,13.13
258,Praia,CV,2022-08-09 23:41:37,14.9215,-23.5087,81.14,78,75,3.44
259,Puerto Escondido,MX,2022-08-09 23:41:38,15.85,-97.0667,86.83,62,75,3.44
260,Upernavik,GL,2022-08-09 23:41:38,72.7868,-56.1549,40.64,93,100,17.98
